ID,FID,Departure
1,649,1
1,141,0
2,452,1
2,145,0
3,178,1
3,326,0
4,497,1
4,358,0
5,388,1
5,558,0
6,423,1
6,570,0
7,711,1
7,70,0
8,510,1
8,571,0
9,508,1
9,36,0
10,401,1
10,673,0
11,636,1
11,611,0
12,5,1
12,170,0
13,501,1
13,75,0
14,627,1
14,140,0
15,229,1
15,270,0
16,275,1
16,264,0
17,172,1
17,282,0
18,330,1
18,168,0
19,393,1
19,113,0
20,578,1
20,107,0
21,586,1
21,484,0
22,42,1
22,282,0
23,465,1
23,719,0
24,329,1
24,673,0
25,561,1
25,112,0
26,111,1
26,74,0
27,85,2
27,324,0
28,106,2
28,72,0
29,312,2
29,665,0
30,537,2
30,210,0
31,389,2
31,588,0
32,479,2
32,79,0
33,471,2
33,721,0
34,404,2
34,138,0
35,307,2
35,142,0
36,691,2
36,559,0
37,577,2
37,673,0
38,65,2
38,578,0
39,317,2
39,578,0
40,223,2
40,562,0
41,575,2
41,662,0
42,221,2
42,727,0
43,23,2
43,484,0
44,63,2
44,313,0
45,623,2
45,324,0
46,186,2
46,145,0
47,462,2
47,168,0
48,665,2
48,561,0
49,268,2
49,117,0
50,397,2
50,333,0
51,112,2
51,188,0
52,485,2
52,560,0
53,541,3
53,161,0
54,371,3
54,410,0
55,354,3
55,143,0
56,700,3
56,588,0
57,592,3
57,366,0
58,192,3
58,662,0
59,369,3
59,366,0
60,440,3
60,225,0
61,560,3
61,325,0
62,561,3
62,562,0
63,56,3
63,78,0
64,458,3
64,731,0
65,570,3
65,37,0
66,402,3
66,224,0
67,437,3
67,117,0
68,671,3
68,282,0
69,139,3
69,172,0
70,248,3
70,571,0
71,292,3
71,27,0
72,335,3
72,149,0
73,569,3
73,576,0
74,525,3
74,224,0
75,372,3
75,233,0
76,473,3
76,327,0
77,379,3
77,157,0
78,374,3
78,93,0
79,480,3
79,157,0
80,448,3
80,74,0
81,599,3
81,521,0
82,19,3
82,282,0
83,386,3
83,521,0
84,495,3
84,141,0
85,551,3
85,139,0
86,258,3
86,75,0
87,466,3
87,598,0
88,661,3
88,726,0
89,536,3
89,707,0
90,56,4
90,571,0
91,326,4
91,117,0
92,360,4
92,472,0
93,264,4
93,461,0
94,625,4
94,709,0
95,308,4
95,113,0
96,317,4
96,571,0
97,189,4
97,366,0
98,181,4
98,399,0
99,184,4
99,74,0
100,318,4
100,219,0
101,597,4
101,142,0
102,393,4
102,709,0
103,519,4
103,559,0
104,199,4
104,224,0
105,336,4
105,75,0
106,345,4
106,141,0
107,199,4
107,675,0
108,611,4
108,726,0
109,362,4
109,709,0
110,366,4
110,225,0
111,480,4
111,709,0
112,480,4
112,718,0
113,224,4
113,77,0
114,599,4
114,73,0
115,91,4
115,333,0
116,420,4
116,731,0
117,512,4
117,472,0
118,18,4
118,115,0
119,42,4
119,78,0
120,514,4
120,731,0
121,496,4
121,134,0
122,290,4
122,557,0
123,66,4
123,26,0
124,3,4
124,31,0
125,223,4
125,72,0
126,299,4
126,559,0
127,252,4
127,226,0
128,268,4
128,139,0
129,545,4
129,731,0
130,386,5
130,642,0
131,573,5
131,626,0
132,446,5
132,117,0
133,125,5
133,318,0
134,588,5
134,224,0
135,668,5
135,556,0
136,51,5
136,366,0
137,330,5
137,674,0
138,409,5
138,576,0
139,423,5
139,561,0
140,391,5
140,53,0
141,536,5
141,41,0
142,257,5
142,438,0
143,55,5
143,675,0
144,715,5
144,595,0
145,483,5
145,225,0
146,674,5
146,73,0
147,382,5
147,139,0
148,79,5
148,327,0
149,132,5
149,224,0
150,194,5
150,472,0
151,106,5
151,406,0
152,651,5
152,15,0
153,573,5
153,108,0
154,209,5
154,173,0
155,186,5
155,399,0
156,15,6
156,562,0
157,558,6
157,578,0
158,185,6
158,562,0
159,132,6
159,434,0
160,92,6
160,226,0
161,496,6
161,680,0
162,17,6
162,282,0
163,53,6
163,141,0
164,46,6
164,313,0
165,325,6
165,77,0
166,606,6
166,588,0
167,652,6
167,725,0
168,611,6
168,573,0
169,186,6
169,26,0
170,42,6
170,159,0
171,557,6
171,159,0
172,344,6
172,74,0
173,94,6
173,560,0
174,116,6
174,458,0
175,556,6
175,223,0
176,173,6
176,170,0
177,343,6
177,73,0
178,173,6
178,53,0
179,303,6
179,170,0
180,343,6
180,223,0
181,353,6
181,143,0
182,715,6
182,305,0
183,415,7
183,365,0
184,172,7
184,709,0
185,609,7
185,53,0
186,574,7
186,709,0
187,239,7
187,438,0
188,682,7
188,673,0
189,22,7
189,116,0
190,669,7
190,674,0
191,377,7
191,83,0
192,617,7
192,570,0
193,377,7
193,333,0
194,355,7
194,144,0
195,379,7
195,170,0
196,328,7
196,125,0
197,691,7
197,71,0
198,545,7
198,70,0
199,232,7
199,172,0
200,511,7
200,59,0
201,452,7
201,560,0
202,600,7
202,142,0
203,343,7
203,42,0
204,525,7
204,115,0
205,484,7
205,253,0
206,505,7
206,472,0
207,300,7
207,160,0
208,116,7
208,115,0
209,650,7
209,159,0
210,544,7
210,77,0
211,671,7
211,472,0
212,58,7
212,113,0
213,138,7
213,335,0
214,6,7
214,31,0
215,124,7
215,114,0
216,314,7
216,561,0
217,135,7
217,169,0
218,523,7
218,578,0
219,180,7
219,709,0
220,532,7
220,561,0
221,40,7
221,577,0
222,264,7
222,115,0
223,328,8
223,69,0
224,581,8
224,484,0
225,675,8
225,577,0
226,9,8
226,561,0
227,241,8
227,115,0
228,673,8
228,173,0
229,95,8
229,438,0
230,219,8
230,26,0
231,238,8
231,521,0
232,518,8
232,674,0
233,50,8
233,73,0
234,172,8
